7360ENO,Buick,Park Avenue,1998,1901
9714WXS,Cadillac,SRX,2009,5965
7084HKY,Dodge,Ram 2500,2006,6017
4100LWH,Cadillac,Fleetwood,1995,4522
1450LJG,Chrysler,LeBaron,1994,6948
5445TQI,Toyota,Solara,1999,6225
9173OMJ,BMW,6 Series,2006,5485
1493UZL,Bentley,Continental GTC,2010,5169
5352MCZ,Bentley,Continental GTC,2011,3796
2872WVI,Dodge,Ram 2500,2007,4180
5928QQG,Jaguar,XJ Series,2000,7705
7939LLT,Jeep,Grand Cherokee,2010,1004
4044DQG,Bentley,Continental Flying Spur,2008,3490
3328XFV,Honda,Odyssey,2002,7093
1526KXM,Dodge,Dakota,2003,5067
6204YYC,MINI,Cooper,2010,1183
3166VSE,Lincoln,Town Car,2004,1943
9181XNT,Pontiac,Grand Prix,1985,9203
3163PJT,Mitsubishi,Montero,2003,7158
4671PYC,Toyota,Tundra,2000,2511
5745PQM,Aston Martin,Vanquish S,2005,3859
5876EVT,Mazda,MPV,1993,5924
9099WLA,Chevrolet,Silverado 1500,2011,6144
3029IVO,Ford,Mustang,1969,3047
6651EGG,Ford,Expedition,2005,3505
3773CIZ,Dodge,Grand Caravan,1997,4276
5929XQZ,Pontiac,Grand Am,1998,1203
4723WBB,Honda,Odyssey,1997,6966
7200LLC,Pontiac,Grand Am,1998,2253
0951UKA,Dodge,Dakota,2005,3491
2188MCA,Mazda,MX-6,1994,5340
6643TNJ,Hyundai,Sonata,1997,6692
0735EVD,Cadillac,CTS,2009,4330
5947TRO,Volkswagen,Jetta,2010,6101
9229TSN,Cadillac,Eldorado,1995,5347
8587XPO,Hyundai,Tucson,2011,9377
3956GJL,Kia,Spectra,2009,4006
5183RKO,Mitsubishi,Galant,2003,3663
1555HFC,Buick,LeSabre,1994,5814
1374NPP,Lexus,LS,1997,1524
0087RDP,Ford,Thunderbird,1977,6421
3977DJM,Chrysler,Town & Country,2003,1378
4551DVO,GMC,Savana 3500,2002,7934
0576FYA,Suzuki,Vitara,2002,7131
5534SUV,GMC,Jimmy,1997,1646
8516MJB,Suzuki,Swift,1998,5263
4841QZL,Mercedes-Benz,G-Class,2002,7832
7212PUO,Nissan,Quest,2002,5531
1579XRV,Bentley,Continental Super,2011,909
9346QDV,Isuzu,Trooper,1992,9115
1333YYO,Mitsubishi,Pajero,2005,4715
4283ALJ,GMC,Yukon XL 2500,2006,4018
9027COR,Infiniti,M,2003,918
7675BPJ,Kia,Rio,2010,1992
0335DII,Pontiac,Sunbird,1984,2710
1068FGH,Infiniti,G,1992,5250
1875XWI,Infiniti,M,2007,1030
4858QHX,Pontiac,Fiero,1988,5938
4076XCH,Toyota,Avalon,2011,4809
9391RKA,GMC,Yukon XL 1500,2002,7678
6219EIJ,Pontiac,Montana,2005,3437
2584EMG,Oldsmobile,Toronado,1966,1263
6501ZSQ,BMW,3 Series,2003,6437
2634MCX,Chevrolet,Corvette,1956,3602
8350FDL,Ford,Freestar,2004,9982
4850OCB,Chrysler,Cirrus,1998,7105
2073OPV,Subaru,Forester,2007,4213
4436PTJ,Bentley,Continental GTC,2011,1341
4644ZPX,Ford,Crown Victoria,2002,8380
6761DTG,Toyota,Prius Plug-in Hybrid,2012,2566
0993BKL,Mercury,Mountaineer,2000,7321
6634OBY,Dodge,Grand Caravan,2011,1850
4296TAE,Ford,Econoline E350,1993,9169
3883ZKV,Hyundai,Santa Fe,2009,2542
6787PWB,Mercedes-Benz,600SEL,1992,6731
1947IOY,Mercedes-Benz,SL-Class,1992,4364
1483OSB,Honda,Insight,2010,9787
1576YOT,Oldsmobile,Achieva,1997,5885
9196GRD,Dodge,Avenger,1996,3557
5316XOH,BMW,8 Series,1997,1154
4090WRY,Jeep,Commander,2007,3701
4084CVL,Mazda,Protege,1999,8968
7651DII,Volkswagen,Rabbit,2006,518
4033RCO,Ford,Excursion,2004,7239
5154OWX,Pontiac,Montana SV6,2005,9112
2802QTI,Nissan,Sentra,2000,2460
2863OYX,Dodge,Ramcharger,1993,999
4034PXN,Ford,Mustang,1986,7432
3918VNX,Honda,Accord,1993,7782
7362BYH,Honda,Accord,1999,7625
9807MSH,Infiniti,Q,2004,7476
6159GMS,Hyundai,Entourage,2009,6292
7664NBJ,Chrysler,Cirrus,1997,4003
0185KBK,Buick,Century,1993,1380
6259PYD,Toyota,MR2,2005,4356
7590YAZ,Ford,Excursion,2000,6752
0626EER,Hyundai,Tiburon,2007,7061
2258CNN,GMC,Sierra 3500,2010,2745
6085WYD,Pontiac,Bonneville,1964,8675
6794SVU,GMC,Sierra Denali,2006,3232
8253KIE,Infiniti,G,2000,9595
8517FAS,Mazda,Mazda6,2004,7451
9064ERK,Maserati,Quattroporte,2011,9580
5162SQD,Chrysler,Sebring,2009,9966
7071ENI,Dodge,Ram Van 2500,1996,912
6365UPS,Dodge,Dakota Club,1993,7120
2762QDN,Porsche,Cayman,2010,2706
2783PWG,Isuzu,Axiom,2004,7422
3410ZNE,Ford,Thunderbird,1990,792
9646PTI,Mitsubishi,Galant,1992,6776
5587ZWI,Maserati,Quattroporte,1984,8874
0333NMW,Saturn,L-Series,2000,5267
5617QLG,Mercedes-Benz,M-Class,2000,8131
3748HUR,Mazda,Millenia,2001,5091
4042PFW,Mercury,Villager,1995,3250
8337TLC,Volvo,960,1993,4815
5300VXR,Lexus,RX,2006,3866
8357LDJ,Volkswagen,Eurovan,1994,8739
4503MHB,Lamborghini,Gallardo,2004,3485
4923NRU,Pontiac,Bonneville,1998,1570
3872PXJ,Pontiac,Vibe,2004,8086
0561VNU,Volkswagen,Jetta,1989,668
3012UPU,Ford,Club Wagon,1995,2729
9813GIL,GMC,Savana 3500,2008,6586
5629MMP,Mercedes-Benz,SLK-Class,2009,5821
3876RFK,Daihatsu,Charade,1992,5702
5610PRC,Ford,F350,2007,7095
0983QRT,Honda,Civic,1998,9720
6950XSU,Cadillac,DeVille,2000,2488
8748FKP,Chevrolet,Malibu,1998,8358
4954SIJ,Porsche,Boxster,2006,6852
8653VDN,Volvo,XC60,2012,5959
1032WKU,Ford,Expedition,1997,3498
0383NMG,Mitsubishi,Outlander,2012,916
6050YJP,Audi,RS 4,2007,6930
7472LLR,BMW,650,2006,4635
8654QUL,Chevrolet,Suburban 2500,1996,5703
8406ZGT,Ford,Escort,1990,2717
0642LSX,Ford,Explorer,2006,3337
7301CDL,BMW,X5,2008,7418
6614VJB,Infiniti,QX56,2011,6934
6788GYB,Volvo,S80,2001,1459
7319UFO,Saab,900,1998,6813
7280UQY,Smart,Fortwo,2010,2478
3806SAZ,Honda,Accord,2009,3983
6694ZJQ,Honda,Accord,2004,7745
6065YYW,Toyota,Camry,2000,6486
4818XXV,Subaru,Legacy,1992,6810
3621HRX,Kia,Rio,2008,9322
5086ZWF,Dodge,Dakota Club,1997,9703
5477GTA,Jaguar,XJ Series,2000,8812
4229CRR,Plymouth,Breeze,1999,7132
4725UNO,Mercedes-Benz,CL-Class,2011,8698
5016KCT,Nissan,Maxima,2003,9301
0718LVN,Audi,S6,2003,3731
0669ASK,Acura,RL,1999,4084
7549OIN,Lamborghini,Murciélago,2006,8089
5280MUS,Audi,100,1989,5134
0035IDN,Saturn,S-Series,1997,4523
0092IAR,Ford,Freestar,2006,8091
8620IBU,Isuzu,Amigo,1999,6516
9774DED,Acura,RL,2005,6859
1633SQY,Ford,F150,1994,2540
2037KGE,Mazda,B-Series,1999,1098
8069LCX,Acura,RDX,2010,9150
6159YPX,Audi,90,1990,4060
0854GYF,Pontiac,Vibe,2005,3809
5977GRY,Lexus,SC,2010,5730
4669RAY,Dodge,Avenger,2000,686
2459STO,Mazda,B-Series Plus,1997,7708
4048HWD,Lamborghini,Murciélago,2007,8249
3234IIM,Jeep,Grand Cherokee,1993,5187
7447MNQ,Oldsmobile,Cutlass Cruiser,1993,3349
9841FRD,Mazda,Protege,1998,3550
9409THQ,Chrysler,Aspen,2009,9511
8731FYE,Toyota,Supra,1994,1031
5576QSS,Lamborghini,Countach,1987,4549
4966RHD,Cadillac,Eldorado,1998,7547
2180RCN,Kia,Sedona,2005,6520
8602AEC,Maserati,Karif,1990,4897
0911PGD,Spyker,C8 Spyder Wide Body,2004,4880
2936GEC,Infiniti,G,2005,4558
3915FCJ,GMC,Vandura G3500,1995,9323
7780NMF,Volvo,850,1995,8165
0300CLT,Nissan,Frontier,2010,1992
5698MDH,Mitsubishi,Excel,1987,4585
1085XOV,Buick,Regal,2000,5009
9827BYJ,Mazda,Familia,1987,1915
5467ZJJ,Mercedes-Benz,SLK-Class,2010,1157
4372UBB,Hummer,H1,1995,7153
3402KKE,Chevrolet,Silverado 1500,2009,622
3144QRW,Infiniti,Q,1999,1894
9863IPN,Chevrolet,Avalanche 1500,2004,6896
1244CKH,Buick,Roadmaster,1993,1823
3780LSP,Chevrolet,Corvette,1960,6378
7618JFK,Subaru,Brat,1984,1365
5566VYF,Ford,E150,2007,6368
7842PKD,Pontiac,Grand Prix,1977,7159
7161IZW,Audi,100,1989,2180
1733ILY,Dodge,Neon,2000,7799
3771PEM,Toyota,Sienna,2002,6667
3705EJT,Nissan,Maxima,2011,6705
9312NPZ,BMW,X6,2010,6070
9329PAK,Mitsubishi,Mirage,1995,4691
5323CHP,Saab,9-2X,2006,889
7080LEU,Pontiac,Grand Prix,1977,9447
5824IMN,GMC,Yukon XL 1500,2004,7211
1815RYF,Nissan,Murano,2006,1828
7389TON,Subaru,Legacy,2011,2564
8782AWC,Jaguar,XK Series,2013,7913
5715HDI,Volkswagen,rio,1995,8624
2106QIN,Buick,Regal,2001,9214
6385MFI,Mercedes-Benz,CLS-Class,2012,7725
2914FCN,Ford,Taurus,1997,6957
5945INU,Chevrolet,Tahoe,2011,8720
5907OER,Suzuki,Grand Vitara,2011,1983
9173UVQ,Isuzu,Stylus,1993,9025
2463LYF,Porsche,Boxster,2003,1384
2763VQM,Dodge,Dakota,2004,8629
1036WGS,Lexus,IS,2007,8079
7636QCR,Ford,F350,1994,1489
9138GDR,Chevrolet,G-Series G30,1995,9153
2120RIA,BMW,X5,2009,4838
6527TYB,Honda,Element,2004,7531
8747WKR,Oldsmobile,98,1996,7967
3728KST,Mazda,929,1993,5191
6334UKT,Aston Martin,Vantage,2006,849
2674ZYF,Ford,Bronco,1990,3892
6169SNY,Jaguar,XK,2007,8481
9300BCW,Isuzu,VehiCROSS,1999,9621
3279NEW,Porsche,928,1993,4899
2700XMI,Plymouth,Reliant,1981,5010
9310BER,Hummer,H1,1993,9877
5037JXX,Nissan,Armada,2006,8623
4532TJS,Chevrolet,TrailBlazer,2004,8051
6156WPB,Ford,Explorer,2000,2264
3682THZ,Nissan,Pathfinder,1997,786
3191HAF,Maybach,62,2012,7998
2219BSO,Cadillac,DeVille,1994,2209
1199VQW,Mercedes-Benz,SLS AMG,2011,2066
3218IWT,Lexus,RX,2001,536
1473BZE,Geo,Tracker,1997,4101
7239NHX,Acura,ZDX,2011,3411
7910AUB,Honda,Element,2007,9489
5137ENN,Dodge,Dakota,1997,1553
6583JDJ,Dodge,Grand Caravan,2003,7504
3769PXA,Pontiac,Grand Prix,1979,9510
6313XWQ,Ford,F-Series Super Duty,2008,944
2113WBT,Saab,9-5,2004,4191
6531FTQ,Mazda,RX-8,2010,9586
